,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
27,2017-09-03 06:00:00.000,4684.90000000,4714.33000000,4586.29000000,4620.87000000,48.79301300,2017-09-03 07:59:59.999,226681.55277707,509,12.23622100,56855.55093733,12032.49903708
28,2017-09-03 08:00:00.000,4610.52000000,4674.86000000,4502.75000000,4523.47000000,67.55466600,2017-09-03 09:59:59.999,310421.54355779,721,17.90421900,82526.55145360,12171.97336637
29,2017-09-03 10:00:00.000,4523.48000000,4557.19000000,4456.80000000,4486.00000000,35.65885300,2017-09-03 11:59:59.999,160648.07988026,321,15.26283300,68781.26551911,12301.47113204
30,2017-09-03 12:00:00.000,4475.23000000,4557.25000000,4298.33000000,4303.10000000,83.08978600,2017-09-03 13:59:59.999,366757.29830068,691,31.60117700,140048.61076273,12242.75113646
31,2017-09-03 14:00:00.000,4303.31000000,4469.14000000,4298.33000000,4384.15000000,87.18173300,2017-09-03 15:59:59.999,379790.70875792,779,41.29399300,180413.68151289,12246.14235475
32,2017-09-03 16:00:00.000,4351.02000000,4529.44000000,4345.01000000,4476.13000000,44.71720300,2017-09-03 17:59:59.999,199260.29445942,474,14.72165300,65654.16439239,12298.33812625
33,2017-09-03 18:00:00.000,4500.00000000,4530.00000000,4425.46000000,4529.00000000,61.57709400,2017-09-03 19:59:59.999,275895.34319194,429,17.49327500,78451.21852383,12479.60267419
34,2017-09-03 20:00:00.000,4529.00000000,4550.00000000,4445.15000000,4549.00000000,46.06588500,2017-09-03 21:59:59.999,207843.35643503,369,19.03089900,85979.21294143,12559.58990879
35,2017-09-03 22:00:00.000,4549.00000000,4583.84000000,4492.73000000,4509.08000000,33.04933600,2017-09-03 23:59:59.999,149569.01378027,289,11.70771700,53116.45274797,12653.02927308
36,2017-09-04 00:00:00.000,4505.00000000,4527.49000000,4411.80000000,4411.81000000,33.84022500,2017-09-04 01:59:59.999,150286.54374398,314,11.22514400,49946.75525541,12632.66909264
