,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
125,2018-01-11 10:00:00,13425.25000000,13569.64000000,13041.00000000,13385.10000000,1874.97726300,2018-01-11 11:59:59.999,24950004.97527334,15678,923.56288000,12284730.57595992,0
126,2018-01-11 12:00:00,13385.10000000,13942.45000000,13282.13000000,13754.95000000,2040.27615800,2018-01-11 13:59:59.999,27969058.41220884,17751,1051.37536800,14413159.76846207,0
127,2018-01-11 14:00:00,13754.95000000,14400.00000000,13680.83000000,13958.08000000,2401.21730400,2018-01-11 15:59:59.999,33664049.96807665,21846,1145.74035800,16054069.51433257,0
128,2018-01-11 16:00:00,13950.05000000,14190.00000000,13609.19000000,13650.01000000,1440.47525300,2018-01-11 17:59:59.999,20037258.23497698,14072,696.48781400,9693836.13287291,0
129,2018-01-11 18:00:00,13650.01000000,13849.99000000,13205.58000000,13430.16000000,1349.05360700,2018-01-11 19:59:59.999,18362409.68915268,12209,680.97771500,9269966.10625910,0
130,2018-01-11 20:00:00,13400.00000000,13655.92000000,13008.00000000,13379.51000000,1768.26747100,2018-01-11 21:59:59.999,23479507.84982860,18064,767.01656900,10195470.53090600,0
131,2018-01-11 22:00:00,13379.51000000,13459.00000000,12511.00000000,13238.78000000,3026.36874800,2018-01-11 23:59:59.999,39330408.30438271,19709,1536.88298100,19965793.73428835,0
132,2018-01-12 00:00:00,13238.76000000,13500.00000000,12500.00000000,13392.56000000,2437.33064700,2018-01-12 01:59:59.999,31641210.62019632,15291,1212.05475200,15749103.26961996,0
133,2018-01-12 02:00:00,13392.56000000,13855.00000000,13228.01000000,13850.00000000,1734.37283200,2018-01-12 03:59:59.999,23484392.35186528,13464,842.83227100,11411610.63363373,0
134,2018-01-12 04:00:00,13854.95000000,13880.00000000,13354.10000000,13550.00000000,1389.52444500,2018-01-12 05:59:59.999,18923300.78895148,12306,674.82424500,9188408.30168542,0
135,2018-01-12 06:00:00,13550.00000000,13966.63000000,13517.78000000,13722.04000000,1489.94379100,2018-01-12 07:59:59.999,20557337.28806045,13863,622.85093800,8589429.90042457,0
136,2018-01-12 08:00:00,13722.04000000,13770.00000000,13301.99000000,13476.03000000,1108.00613600,2018-01-12 09:59:59.999,15016594.16640819,9110,562.38413300,7623713.50732485,0
137,2018-01-12 10:00:00,13496.99000000,14109.78000000,13476.03000000,13900.02000000,1324.96767900,2018-01-12 11:59:59.999,18423312.63029572,11224,735.64967900,10226453.98420831,0
138,2018-01-12 12:00:00,13900.02000000,14059.48000000,13738.56000000,13811.74000000,1067.27010600,2018-01-12 13:59:59.999,14850334.10413371,10692,507.62438400,7062820.52090873,0
139,2018-01-12 14:00:00,13811.74000000,13872.99000000,13358.99000000,13411.79000000,1574.42353400,2018-01-12 15:59:59.999,21489168.74962106,13518,823.10586300,11249160.11688965,0
140,2018-01-12 16:00:00,13411.79000000,13600.00000000,13222.00000000,13520.01000000,1894.73293500,2018-01-12 17:59:59.999,25407166.48217733,13234,959.37690200,12860510.57171335,0
